gene	AD	CTL
ENSG00000065361	31	21
ENSG00000117533	162	101
ENSG00000177875	36	36
ENSG00000139190	11	19
ENSG00000198780	61	71
ENSG00000133985	237	191
ENSG00000120798	59	96
ENSG00000169891	382	421
ENSG00000067842	219	147
ENSG00000076928	40	67
ENSG00000127946	26	25
ENSG00000107105	96	51
ENSG00000172348	41	51
ENSG00000122705	271	129
ENSG00000103089	35	28
ENSG00000150656	4	2
ENSG00000112290	135	219
ENSG00000143756	21	35
ENSG00000086065	334	314
ENSG00000198300	340	421
ENSG00000166313	369	469
ENSG00000173258	199	117
ENSG00000076067	54	33
ENSG00000173369	15	30
ENSG00000175309	68	62
ENSG00000138029	23	15
ENSG00000183454	79	101
ENSG00000163444	200	299
ENSG00000090861	393	491
ENSG00000172115	217	66
ENSG00000145632	101	59
ENSG00000186479	187	231
ENSG00000167468	304	407
ENSG00000149657	563	410
ENSG00000196715	270	220
ENSG00000148498	72	96
ENSG00000184515	277	229
ENSG00000184465	46	67
ENSG00000164284	80	131
ENSG00000085788	285	230
ENSG00000104442	188	115
ENSG00000105568	185	259
ENSG00000178385	36	2
ENSG00000118473	266	122
ENSG00000198356	440	615
ENSG00000168137	23	39
ENSG00000180543	250	431
ENSG00000174437	108	224
ENSG00000162889	69	59
ENSG00000168653	72	1
ENSG00000145555	34	86
ENSG00000070214	27	29
ENSG00000165264	119	168
ENSG00000008282	19	8
ENSG00000166619	125	252
ENSG00000088538	51	9
ENSG00000112972	3	4
ENSG00000188976	370	330
ENSG00000163634	405	469
ENSG00000168291	161	133
ENSG00000143514	34	104
ENSG00000172301	434	409
ENSG00000159784	41	88
ENSG00000177954	5	5
ENSG00000196295	62	127
ENSG00000108924	232	58
ENSG00000197444	154	77
ENSG00000120438	36	35
ENSG00000175215	57	39
ENSG00000163950	207	55
ENSG00000057608	163	93
ENSG00000067167	13	1
ENSG00000142937	9	11
ENSG00000163032	45	23
ENSG00000277586	132	97
ENSG00000154727	13	5
ENSG00000157087	40	25
ENSG00000103316	86	128
ENSG00000073670	137	106
ENSG00000162910	126	38
ENSG00000100804	158	236
ENSG00000184905	112	77
ENSG00000173473	43	54
ENSG00000133872	111	86
ENSG00000157778	352	387
ENSG00000152495	104	74
ENSG00000204217	154	130
ENSG00000135899	6	15
ENSG00000151414	35	10
ENSG00000099331	47	93
ENSG00000114439	59	75
ENSG00000124767	202	56
ENSG00000164038	177	25
ENSG00000174501	24	77
ENSG00000075539	31	11
ENSG00000132254	405	506
ENSG00000160695	339	188
ENSG00000136167	13	39
ENSG00000181163	73	37
ENSG00000147459	17	14
ENSG00000104093	223	140
ENSG00000091656	21	58
ENSG00000198015	179	105
ENSG00000102710	85	61
ENSG00000109670	173	13
ENSG00000177614	34	29
ENSG00000196305	396	385
ENSG00000182934	345	124
ENSG00000170989	37	81
ENSG00000018408	46	11
ENSG00000049245	38	49
ENSG00000101856	191	52
ENSG00000198843	38	10
ENSG00000126581	154	301
ENSG00000188042	42	52
ENSG00000168461	44	105
ENSG00000175756	195	221
ENSG00000166848	263	65
ENSG00000162511	15	30
ENSG00000107745	252	150
ENSG00000052841	102	74
ENSG00000163482	23	30
ENSG00000184117	254	453
ENSG00000179115	421	478
ENSG00000116478	105	127
ENSG00000129518	134	157
ENSG00000025800	93	106
ENSG00000150907	62	123
ENSG00000171316	31	67
ENSG00000125743	187	223
ENSG00000151491	81	46
ENSG00000163513	34	2
ENSG00000155629	23	33
ENSG00000046889	49	106
ENSG00000122417	18	2
ENSG00000149927	41	18
ENSG00000130294	7	1
ENSG00000115561	139	492
ENSG00000175395	226	117
ENSG00000267680	73	63
ENSG00000163660	13	59
ENSG00000175166	312	346
ENSG00000183020	135	243
ENSG00000166579	495	603
ENSG00000065809	22	14
ENSG00000178988	268	307
ENSG00000175931	145	95
ENSG00000189159	295	221
ENSG00000183354	4	3
ENSG00000107771	156	136
ENSG00000244038	97	2
ENSG00000124659	149	139
ENSG00000034713	161	141
ENSG00000175455	37	33
ENSG00000011485	440	466
ENSG00000114391	17	26
ENSG00000164292	43	77
ENSG00000140577	53	127
ENSG00000129355	223	282
ENSG00000129493	77	80
ENSG00000179950	179	63
ENSG00000127837	227	166
ENSG00000172020	37	13
ENSG00000221978	54	109
ENSG00000056050	196	180
ENSG00000115947	281	327
ENSG00000134897	18	10
ENSG00000143952	67	125
ENSG00000153558	74	16
ENSG00000119865	120	35
ENSG00000108861	140	79
ENSG00000169018	89	136
ENSG00000129484	102	65
ENSG00000123119	119	101
ENSG00000132386	105	24
ENSG00000107643	232	83
ENSG00000075303	186	200
ENSG00000184144	20	11
ENSG00000124140	141	73
ENSG00000169490	284	396
ENSG00000146007	283	370
ENSG00000170540	110	137
ENSG00000257621	100	172
ENSG00000151743	311	150
ENSG00000156261	439	270
ENSG00000139697	114	63
ENSG00000103415	357	454
ENSG00000148798	31	49
ENSG00000159363	29	87
ENSG00000165169	394	291
ENSG00000172508	9	13
ENSG00000126602	173	201
ENSG00000142168	468	361
