gene	AD	CTL
ENSG00000134516	35	57
ENSG00000230715	2	1
ENSG00000172380	117	118
ENSG00000171790	247	9
ENSG00000230910	395	33
ENSG00000107099	31	61
ENSG00000056097	109	1
ENSG00000142541	69	49
ENSG00000258135	343	1
ENSG00000136960	18	19
ENSG00000268996	332	57
ENSG00000174695	115	157
ENSG00000237017	117	32
ENSG00000241560	83	2
ENSG00000196569	59	115
ENSG00000188910	52	78
ENSG00000127191	93	13
ENSG00000272217	245	104
ENSG00000221944	326	1
ENSG00000181195	1	NA
ENSG00000081791	199	NA
ENSG00000016864	209	NA
ENSG00000226200	296	30
ENSG00000063244	435	28
ENSG00000143575	54	NA
ENSG00000175040	118	137
ENSG00000122406	57	40
ENSG00000117758	219	1
ENSG00000173442	297	3
ENSG00000162669	341	NA
ENSG00000135824	73	74
ENSG00000235885	240	NA
ENSG00000120645	297	NA
ENSG00000137936	66	88
ENSG00000137075	77	9
ENSG00000205500	121	145
ENSG00000176390	4	75
ENSG00000172663	273	8
ENSG00000162378	60	101
ENSG00000109332	94	10
ENSG00000269439	122	10
ENSG00000272106	177	43
ENSG00000171962	167	1
ENSG00000286707	281	47
ENSG00000138315	428	4
ENSG00000099960	306	135
ENSG00000154229	101	182
ENSG00000104879	434	5
ENSG00000147437	85	186
ENSG00000243156	84	10
ENSG00000285548	37	71
ENSG00000151892	78	40
ENSG00000259224	53	6
ENSG00000153208	48	109
ENSG00000237848	237	NA
ENSG00000147224	58	410
ENSG00000159596	289	NA
ENSG00000197322	272	39
ENSG00000115762	29	162
ENSG00000166189	36	271
ENSG00000145451	118	71
ENSG00000227487	101	111
ENSG00000151834	12	71
ENSG00000204130	155	NA
ENSG00000160255	45	68
ENSG00000261087	32	190
ENSG00000171385	104	224
ENSG00000172809	62	21
ENSG00000167861	135	6
ENSG00000128271	624	31
ENSG00000063322	482	NA
ENSG00000230124	6	7
ENSG00000248719	41	150
ENSG00000273802	97	2
ENSG00000148672	31	55
ENSG00000181929	208	12
ENSG00000155850	115	NA
ENSG00000138029	57	66
ENSG00000143870	107	33
ENSG00000249307	18	3
ENSG00000163285	89	160
ENSG00000108256	205	42
ENSG00000118729	46	51
ENSG00000081177	330	8
ENSG00000229589	20	9
ENSG00000160161	318	NA
ENSG00000168002	210	2
ENSG00000205740	110	3
ENSG00000233196	152	225
ENSG00000102409	5	49
ENSG00000111961	71	125
ENSG00000258730	179	143
ENSG00000119723	243	44
ENSG00000163602	234	1
ENSG00000083123	55	3
ENSG00000132305	20	7
ENSG00000176986	29	97
ENSG00000196652	242	NA
ENSG00000163468	42	14
ENSG00000123505	86	60
ENSG00000146535	53	129
ENSG00000182400	69	450
ENSG00000170989	92	200
ENSG00000147677	40	5
ENSG00000273319	97	249
ENSG00000226763	132	18
ENSG00000213212	127	128
ENSG00000184117	92	298
ENSG00000163297	44	51
ENSG00000182208	291	35
ENSG00000138095	34	8
ENSG00000142528	51	61
ENSG00000287720	246	11
ENSG00000272631	329	4
ENSG00000260743	282	NA
ENSG00000182873	51	80
ENSG00000133619	192	NA
ENSG00000061987	189	NA
ENSG00000183495	113	99
ENSG00000108107	59	100
ENSG00000008988	28	145
ENSG00000123975	50	NA
ENSG00000127054	215	29
ENSG00000231312	338	NA
ENSG00000273444	134	52
ENSG00000091436	71	119
ENSG00000214530	262	42
ENSG00000186469	97	75
ENSG00000167747	311	2
ENSG00000105669	94	10
ENSG00000173369	47	38
ENSG00000183814	50	3
ENSG00000106245	23	6
ENSG00000154917	41	82
ENSG00000160293	71	161
ENSG00000104524	291	48
ENSG00000151923	135	140
ENSG00000143153	82	138
ENSG00000287726	130	NA
ENSG00000123999	270	16
ENSG00000281100	348	NA
ENSG00000085788	135	42
ENSG00000178802	368	38
ENSG00000064961	37	6
ENSG00000063046	19	97
ENSG00000287859	240	32
ENSG00000179091	83	252
ENSG00000111249	79	103
ENSG00000157020	8	26
ENSG00000270060	166	NA
ENSG00000106723	83	53
ENSG00000258102	327	1
ENSG00000140941	50	23
ENSG00000139351	289	8
ENSG00000152049	4	1
ENSG00000117533	175	2
ENSG00000218839	9	2
ENSG00000234741	26	64
ENSG00000087253	44	53
ENSG00000241218	224	3
ENSG00000146267	71	350
ENSG00000174516	113	138
ENSG00000128928	358	3
ENSG00000164124	21	13
ENSG00000169609	291	NA
ENSG00000163431	11	8
ENSG00000109475	45	80
ENSG00000102580	33	3
ENSG00000197102	22	51
ENSG00000179051	176	84
ENSG00000278975	61	51
ENSG00000286233	174	45
ENSG00000251687	61	14
ENSG00000264772	120	222
ENSG00000224609	231	63
ENSG00000230461	226	NA
ENSG00000073614	56	204
ENSG00000075275	524	89
ENSG00000059377	46	58
ENSG00000007171	248	NA
ENSG00000090989	218	24
ENSG00000183671	68	64
ENSG00000114757	4	2
ENSG00000282164	107	373
ENSG00000146540	138	2
ENSG00000104371	154	202
ENSG00000175105	82	13
ENSG00000157353	323	1
ENSG00000183873	195	NA
ENSG00000187017	30	5
ENSG00000138757	112	581
ENSG00000224165	138	NA
ENSG00000280035	58	74
ENSG00000163444	131	89
ENSG00000164488	32	24
ENSG00000159692	88	71
ENSG00000114779	190	9
ENSG00000204237	232	41
ENSG00000116857	39	2
ENSG00000204568	196	10
ENSG00000067601	225	1
ENSG00000105649	44	169
ENSG00000009780	130	4
ENSG00000286810	271	36
ENSG00000070886	52	111
ENSG00000117222	65	63
ENSG00000215251	272	30
ENSG00000107614	41	NA
ENSG00000113593	37	67
ENSG00000253406	103	18
ENSG00000114698	84	114
ENSG00000285909	111	54
ENSG00000071967	94	163
ENSG00000143797	71	112
ENSG00000254461	92	1
ENSG00000287925	253	NA
ENSG00000197557	25	7
ENSG00000286995	64	32
ENSG00000182308	195	58
ENSG00000151090	69	73
ENSG00000112624	84	322
ENSG00000155886	107	212
ENSG00000171467	70	2
ENSG00000176125	217	NA
ENSG00000135250	77	368
ENSG00000008300	42	2
ENSG00000140854	347	6
ENSG00000200059	109	177
ENSG00000151445	376	19
ENSG00000121879	36	66
ENSG00000157060	8	NA
ENSG00000248527	12	287
ENSG00000143258	292	4
ENSG00000233332	222	11
ENSG00000167548	72	40
ENSG00000185963	124	211
ENSG00000162733	44	114
ENSG00000223459	87	391
ENSG00000105865	252	6
ENSG00000279764	184	182
ENSG00000117151	265	9
ENSG00000248859	97	35
ENSG00000170629	38	440
ENSG00000197299	103	131
ENSG00000236144	455	3
ENSG00000178537	53	41
ENSG00000197858	237	3
ENSG00000085433	84	300
ENSG00000109099	18	14
ENSG00000205129	154	24
ENSG00000140798	89	29
ENSG00000180846	127	150
ENSG00000174748	61	1
ENSG00000105854	51	166
ENSG00000259358	81	4
ENSG00000204264	7	NA
ENSG00000112651	268	2
ENSG00000160741	15	130
ENSG00000123338	48	78
ENSG00000134250	80	180
ENSG00000226040	207	NA
ENSG00000131507	54	150
ENSG00000141337	349	132
ENSG00000280385	55	1
ENSG00000149273	43	33
ENSG00000254449	50	3
ENSG00000260997	346	6
ENSG00000229657	91	62
ENSG00000249896	48	NA
ENSG00000263278	150	145
ENSG00000164091	98	325
ENSG00000178171	15	70
ENSG00000146826	44	104
ENSG00000273033	241	NA
ENSG00000257621	121	39
ENSG00000146197	25	105
ENSG00000259577	184	35
ENSG00000106330	101	3
ENSG00000228146	409	7
ENSG00000005448	287	3
ENSG00000115268	44	12
ENSG00000230638	132	76
ENSG00000144567	73	129
ENSG00000179526	245	5
ENSG00000102796	416	29
ENSG00000125107	83	354
ENSG00000143106	129	19
ENSG00000246465	61	5
ENSG00000162191	57	15
ENSG00000178057	136	24
ENSG00000276545	63	NA
ENSG00000215021	51	7
ENSG00000197324	118	148
ENSG00000154099	117	25
ENSG00000165943	96	470
ENSG00000280392	111	15
ENSG00000159248	73	111
ENSG00000229117	41	NA
ENSG00000226891	317	30
ENSG00000158301	161	427
ENSG00000168748	73	14
ENSG00000198780	74	466
ENSG00000183199	14	4
ENSG00000178502	66	531
ENSG00000287760	178	17
ENSG00000110046	13	6
ENSG00000128815	18	61
ENSG00000172340	23	3
ENSG00000243302	2	2
ENSG00000217275	33	NA
ENSG00000279481	111	54
ENSG00000197540	199	61
ENSG00000233559	90	261
ENSG00000286404	128	NA
ENSG00000103126	198	11
ENSG00000177432	39	115
ENSG00000133606	89	60
ENSG00000156030	101	1
ENSG00000128833	345	4
ENSG00000140463	156	1
ENSG00000080603	122	83
ENSG00000117620	121	4
ENSG00000152990	46	89
ENSG00000122435	73	NA
ENSG00000261659	75	165
ENSG00000119541	288	2
