gene	AD	CTL
ENSG00000116750	58	94
ENSG00000075035	183	268
ENSG00000088899	245	420
ENSG00000164100	205	426
ENSG00000172995	189	144
ENSG00000204052	226	565
ENSG00000160255	18	21
ENSG00000167037	391	169
ENSG00000145934	309	10
ENSG00000141750	53	21
ENSG00000185933	303	416
ENSG00000123562	305	105
ENSG00000172247	296	219
ENSG00000111218	83	441
ENSG00000121871	176	79
ENSG00000154518	12	21
ENSG00000117408	12	102
ENSG00000146072	193	NA
ENSG00000181215	21	26
ENSG00000133083	295	343
ENSG00000075415	366	103
ENSG00000132563	123	23
ENSG00000054803	457	413
ENSG00000204116	369	341
ENSG00000122574	138	2
ENSG00000088888	198	365
ENSG00000142634	127	NA
ENSG00000161203	150	480
ENSG00000224078	162	217
ENSG00000205116	11	131
ENSG00000136960	29	148
ENSG00000110172	3	NA
ENSG00000077254	202	250
ENSG00000065243	238	34
ENSG00000154975	255	66
ENSG00000033627	241	20
ENSG00000224223	124	87
ENSG00000167778	197	528
ENSG00000091844	172	35
ENSG00000004779	89	293
ENSG00000144645	260	146
ENSG00000033170	2	63
ENSG00000179603	267	16
ENSG00000105223	212	334
ENSG00000171126	49	137
ENSG00000175395	227	424
ENSG00000259985	183	141
ENSG00000118160	372	221
ENSG00000065154	114	22
ENSG00000196961	54	32
ENSG00000198729	169	286
ENSG00000184117	14	182
ENSG00000134504	316	106
ENSG00000147642	137	94
ENSG00000114993	13	119
ENSG00000171435	123	25
ENSG00000148334	25	208
ENSG00000141934	20	158
ENSG00000074317	93	54
ENSG00000174453	243	2
ENSG00000214517	172	47
ENSG00000233487	140	129
ENSG00000175426	100	74
ENSG00000067715	266	18
ENSG00000103978	5	63
ENSG00000092421	27	163
ENSG00000189195	168	142
ENSG00000287581	147	15
ENSG00000204314	194	244
ENSG00000004478	5	NA
ENSG00000216863	191	261
ENSG00000146670	195	287
ENSG00000104369	226	73
ENSG00000144619	150	220
ENSG00000146426	86	151
ENSG00000113575	97	57
ENSG00000114405	161	47
ENSG00000164985	77	1
ENSG00000147676	292	506
ENSG00000162378	63	416
ENSG00000286190	37	164
ENSG00000144583	55	33
