gene	region	logFC	t	adj.P.Val	B	direction	label
ENSG00000240038	CRB	-0.7662018443905403	-3.929644195902784	0.00440958015651432	0.9268753085277526	Underexpressed	AMY2B
ENSG00000188886	CRB	-0.6006889568428342	-3.929549524387183	0.00440958015651432	0.9265474607299558	Underexpressed	ASTL
ENSG00000287469	CRB	-0.7485127238446143	-3.936845410957741	0.00441899183142959	0.9264090065802488	Underexpressed	NA
ENSG00000256667	CRB	-0.5884109278195968	-3.927413877571668	0.00442559661586591	0.9191534443138902	Underexpressed	KLRA1P
ENSG00000276809	CRB	-0.5064744714984215	-3.9233987362740135	0.00448294936796039	0.9052612640591172	Underexpressed	NA
ENSG00000272509	CRB	-0.5157940316107794	-3.9232479969005385	0.00448294936796039	0.9047399426854348	Underexpressed	NA
ENSG00000197061	CRB	0.8236916557591254	3.9283744952629824	0.0045272096755191	0.8987244313790148	Overexpressed	H4C3
ENSG00000120875	CRB	-0.701462078931625	-3.9193721365746024	0.0045360210973684504	0.8913412502074678	Underexpressed	DUSP4
ENSG00000278816	CRB	-0.543604034094237	-3.9177177013317217	0.004557871045323	0.8856252735556405	Underexpressed	NA
ENSG00000251340	CRB	-0.9222066111481896	-3.926934370541914	0.0045590322577588	0.8891388367449551	Underexpressed	MTCYBP35
ENSG00000132199	CRB	-0.6781633582766702	-3.916600850766889	0.00456369243768776	0.8817677503240118	Underexpressed	ENOSF1
ENSG00000280587	CRB	0.9535568619102166	3.9156436343049865	0.00457021122771701	0.8784623169462318	Overexpressed	LINC01348
ENSG00000230274	CRB	0.950168578406065	3.919061850925076	0.00457021122771701	0.8793306553059175	Overexpressed	PGAM1P3
ENSG00000138075	CRB	-0.5545720631763591	-3.914874855665042	0.00457021122771701	0.8758080763927607	Underexpressed	ABCG5
ENSG00000196754	CRB	-0.5641350082422862	-3.91466940293304	0.00457021122771701	0.8750988153036179	Underexpressed	S100A2
ENSG00000198743	CRB	1.0600267910381316	3.930147018023259	0.0045749807768661	0.8804551555066613	Overexpressed	SLC5A3
ENSG00000255337	CRB	-0.5873605004655591	-3.91362020512336	0.0045749807768661	0.87147726988856	Underexpressed	TMEM123-DT
ENSG00000224424	CRB	-0.588292614415546	-3.913212662981208	0.00457534483955028	0.8700707621382655	Underexpressed	PRKAR2A-AS1
ENSG00000188672	CRB	-0.774668114967521	-3.9212174424370105	0.00459888981732474	0.8688915301800888	Underexpressed	RHCE
ENSG00000237476	CRB	-0.5601605333144617	-3.911090258827253	0.00459888981732474	0.862747891418481	Underexpressed	LINC01637
ENSG00000224655	CRB	0.8007185127930585	3.910685222929139	0.00459923826798422	0.8613507816195956	Overexpressed	LINC01823
ENSG00000107020	CRB	-0.5281475572281078	-3.910214590086296	0.00460074234269423	0.8597275557285187	Underexpressed	PLGRKT
ENSG00000180921	CRB	-0.6873166380350444	-3.912015214760963	0.00461405356003859	0.8573397057446215	Underexpressed	FAM83H
ENSG00000106804	CRB	-0.5699808690700907	-3.908200300924382	0.00462257791525112	0.8527820452346777	Underexpressed	C5
ENSG00000263311	CRB	0.9031621104062556	3.919963673102784	0.00462391376066287	0.857653822308901	Overexpressed	NA
ENSG00000102445	CRB	-0.6236111025671773	-3.9060310736284967	0.00464727534819784	0.845305607000495	Underexpressed	RUBCNL
ENSG00000287135	CRB	-0.9152179822717068	-3.9162871547297304	0.00467403331156971	0.8451434899011003	Underexpressed	NA
ENSG00000277782	CRB	-0.7191880483145452	-3.9101307702278985	0.00467403331156971	0.8408416291505016	Underexpressed	NA
ENSG00000261794	CRB	-0.6550801228866376	-3.9032866032098945	0.00467556992619799	0.8358514727310373	Underexpressed	GOLGA8H
ENSG00000110031	CRB	-0.5475784157139394	-3.9021112371480777	0.0046896859730147	0.8318042644720638	Underexpressed	LPXN
ENSG00000223963	CRB	0.5983856311247155	3.901035301130093	0.00470207651571256	0.8281003158770819	Overexpressed	THAP12P8
ENSG00000254960	CRB	-1.038422913625306	-3.9092800138567094	0.0047139291362406	0.8278588031753813	Underexpressed	KIRREL3-AS2
ENSG00000281100	CRB	-0.7033852549111916	-3.9028222175769303	0.0047139291362406	0.8242254568318357	Underexpressed	NA
ENSG00000287200	CRB	-0.558561432639463	-3.8992336582842575	0.0047139291362406	0.8218999925218755	Underexpressed	NA
ENSG00000258135	CRB	-0.8658957340173634	-3.910205571944633	0.00474843277795685	0.8210156747716031	Underexpressed	LINC02396
ENSG00000160124	CRB	-0.5505085317147103	-3.896058033194139	0.00475735238269897	0.8109769182998132	Underexpressed	MIX23
ENSG00000125864	CRB	-0.6087439775238233	-3.8942859766496514	0.00478083706888123	0.8048848546520961	Underexpressed	BFSP1
ENSG00000187116	CRB	0.7964023033892276	3.8940037203835383	0.00478083706888123	0.8039147124688402	Overexpressed	LILRA5
ENSG00000278224	CRB	-0.5447604748783093	-3.8935978554983177	0.00478137014123955	0.8025198177652371	Underexpressed	PRICKLE4
ENSG00000105865	CRB	-0.5253378722966691	-3.893126172527989	0.00478310432467176	0.8008988681326281	Underexpressed	DUS4L
ENSG00000278828	CRB	1.131419179678718	3.908948275930701	0.00478797747603965	0.8073051830511391	Overexpressed	H3C10
ENSG00000138614	CRB	-0.6291436688049163	-3.8921068757547057	0.00478797747603965	0.7973965875353466	Underexpressed	INTS14
ENSG00000231920	CRB	-0.6581236860431083	-3.891135698826546	0.00479880527392109	0.7940603539098436	Underexpressed	NEBL-AS1
ENSG00000273712	CRB	0.5584508125571883	3.888979619655793	0.00483127719275217	0.7866561581204987	Overexpressed	NA
ENSG00000287808	CRB	-0.5449749472044294	-3.8877551167836506	0.00483542127648805	0.782452607659887	Underexpressed	DHX9-AS1
ENSG00000271913	CRB	-0.5217120145291911	-3.887506779474119	0.00483542127648805	0.7816002338158947	Underexpressed	TAGAP-AS1
ENSG00000200812	CRB	-1.0708537827385958	-3.8975103936822175	0.00483542127648805	0.7861496969780957	Underexpressed	SNORD115-6
ENSG00000272556	CRB	-0.7081347354063539	-3.8923066407897617	0.00483542127648805	0.7829558111144488	Underexpressed	GTF2IP13
ENSG00000259315	CRB	-0.5784941862372741	-3.88658072568409	0.00483542127648805	0.7784221168917274	Underexpressed	ACTG1P17
ENSG00000112667	CRB	-0.6195496673791236	-3.886518885579541	0.00483542127648805	0.7782099107095881	Underexpressed	DNPH1
ENSG00000237310	CRB	-0.5369147722232448	-3.8858442616722706	0.00484098318032275	0.7758951006297865	Underexpressed	LINC03011
ENSG00000286789	CRB	-0.6191876541424848	-3.884716480793448	0.0048548698083898	0.7720261365716059	Underexpressed	NA
ENSG00000215277	CRB	-0.6371084666338285	-3.883792676304256	0.00486504904299041	0.7688576288578924	Underexpressed	RNF212B
ENSG00000119147	CRB	-0.7130565914459233	-3.8861989519485256	0.0048733152910983	0.7660472914640222	Underexpressed	ECRG4
ENSG00000271743	CRB	-0.5576318483123242	-3.882237365176665	0.0048733152910983	0.763524564661207	Underexpressed	NA
ENSG00000275392	CRB	-0.5403299432156339	-3.882237125938831	0.0048733152910983	0.7635237444662115	Underexpressed	NA
ENSG00000286787	CRB	-0.56423595944554	-3.8807746092426663	0.00488400721577282	0.7585104861650134	Underexpressed	NA
ENSG00000287537	CRB	-0.6992808816767386	-3.8851287152879217	0.00488400721577282	0.7603587052042595	Underexpressed	NA
ENSG00000250385	CRB	-0.9195972539727232	-3.89706043235821	0.00488400721577282	0.7665509855605217	Underexpressed	NA
ENSG00000261121	CRB	-0.752964477374432	-3.87916899261569	0.00490334484774203	0.7524777200193062	Underexpressed	LINC02473
ENSG00000250486	CRB	-0.5637684056233745	-3.8787763093103544	0.00490334484774203	0.7516631921111943	Underexpressed	FAM218A
ENSG00000128271	CRB	0.9636049451175666	3.891407987970937	0.0049737493956622	0.7464337139373463	Overexpressed	ADORA2A
ENSG00000287918	CRB	-0.69002358829073	-3.873400380796343	0.00499006729859844	0.7332568065799858	Underexpressed	NA
